title,audio_url,subtitle_text,subtitle_url
第204期 _千问与玄学,https://cdn2.wavpub.com/hosting.wavpub.cn/wp-content/uploads/sites/28/2026/03/pie-ep204.mp3,字幕,Podcast-Subtitle/pie-srt/v2/pie-ep204.mp3.srt
第203期 _天下一家,https://cdn2.wavpub.com/hosting.wavpub.cn/wp-content/uploads/sites/28/2026/02/pie-ep203.mp3,字幕,Podcast-Subtitle/pie-srt/v2/pie-ep203.mp3.srt
第202期 _浓浓的年味儿,https://cdn2.wavpub.com/hosting.wavpub.cn/wp-content/uploads/sites/28/2026/02/pie-ep202.mp3,字幕,Podcast-Subtitle/pie-srt/v2/pie-ep202.mp3.srt
第201期 AI时代的开源,https://cdn2.wavpub.com/hosting.wavpub.cn/wp-content/uploads/sites/28/2026/02/pie-ep201.mp3,字幕,Podcast-Subtitle/pie-srt/v2/pie-ep201.mp3.srt
第200期 进化,https://cdn2.wavpub.com/hosting.wavpub.cn/wp-content/uploads/sites/28/2026/02/pie-ep200.mp3,字幕,Podcast-Subtitle/pie-srt/v2/pie-ep200.mp3.srt
第199期 不一样的达沃斯,https://cdn2.wavpub.com/hosting.wavpub.cn/wp-content/uploads/sites/28/2026/01/pie-ep199.mp3,字幕,Podcast-Subtitle/pie-srt/v2/pie-ep199.mp3.srt
第198期 研发都是冒险历程,https://cdn2.wavpub.com/hosting.wavpub.cn/wp-content/uploads/sites/28/2026/01/pie-ep198.mp3,字幕,Podcast-Subtitle/pie-srt/v2/pie-ep198.mp3.srt
第197期 力量的正道,https://cdn2.wavpub.com/hosting.wavpub.cn/wp-content/uploads/sites/28/2026/01/pie-ep197.mp3,字幕,Podcast-Subtitle/pie-srt/v2/pie-ep197.mp3.srt
第196期 AI编程学来了,https://cdn2.wavpub.com/hosting.wavpub.cn/wp-content/uploads/sites/28/2026/01/pie-ep196.mp3,字幕,Podcast-Subtitle/pie-srt/v2/pie-ep196.mp3.srt
第195期 你好2026,https://cdn2.wavpub.com/hosting.wavpub.cn/wp-content/uploads/sites/28/2025/12/pie-ep195.mp3,字幕,Podcast-Subtitle/pie-srt/v2/pie-ep195.mp3.srt
第194期 大家都爱举国体制,https://cdn2.wavpub.com/hosting.wavpub.cn/wp-content/uploads/sites/28/2025/11/pie-ep187.mp3,字幕,Podcast-Subtitle/pie-srt/v2/pie-ep194.mp3.srt
第193期 帝国新纪元,https://cdn2.wavpub.com/hosting.wavpub.cn/wp-content/uploads/sites/28/2025/12/pie-ep193.mp3,字幕,Podcast-Subtitle/pie-srt/v2/pie-ep193.mp3.srt
